,Headline,Date,Provider
26,$21 billion going up in fumes every year as freight vehicles idle at check posts - The Economic Times,2016-06-08,Economic Times India
27,25 years of reforms: Meet entrepreneurs of the open era - The Economic Times,2016-07-29,Economic Times India
29,27 PSU banks write off  Rs 1.14 lakh crore bad debts during 2012-15 - The Economic Times,2016-02-08,Economic Times India
30,"Mutual Fund | Stock market: 27-year-old rule changed: Disclosure limit on MF, stock investment up for bureaucrats",2019-02-08,Economic Times India
31,28% citizens yet to deposit old currency in bank: Survey - The Economic Times,2016-11-29,Economic Times India
32,3.2 per cent fiscal deficit target realistic; revenues to improve: Shaktikanta Das - The Economic Times,2017-02-09,Economic Times India
33,30% of state public enterprises loss-making: RBI report - The Economic Times,2016-04-07,Economic Times India
34,"GST: 31% CFOs feel GST has hit manufacturing most: Deloitte survey - The Economic Times
						",2017-08-03,Economic Times India
35,336% hike in govt’s legal spend in 6 years - The Economic Times,2018-07-20,Economic Times India
36,34 sick PSUs suggested for strategic divestment: Niti Aayog CEO Amitabh Kant - The Economic Times,2017-10-26,Economic Times India
37,"$418 million FDI in April 2014-September 2016 in diamond, gold, ornaments - The Economic Times
						",2017-01-18,Economic Times India
38,"$418 million FDI in April 2014-September 2016 in diamond, gold, ornaments - The Economic Times",2017-01-18,Economic Times India
39,5 more entities get RBI grant under depositors' awareness fund - The Economic Times,2016-12-22,Economic Times India
40,"maintenance allowance: 52 per cent senior citizens apply for maintenance allowance: Survey - The Economic Times
						",2018-01-08,Economic Times India
41,6 billion dollar saved through direct benefit transfer: Ravi Shankar Prasad - The Economic Times,2016-11-05,Economic Times India
42,"6 insurers get FIPB nod for Rs 2,566-crore FDI till Feb 2016 - The Economic Times",2016-05-14,Economic Times India
43,60 per cent of income tax notices on fishy cash deposits returned - The Economic Times,2017-04-25,Economic Times India
44,65% of 9.50 trillion agriculture debt may be potentially waived: Nomura - The Economic Times,2017-06-13,Economic Times India
45,"65% of 9.50 trillion agriculture debt may be potentially waived: Nomura - The Economic Times
						",2017-06-13,Economic Times India
46,67.4 kg seized gold misplaced at IGI this year; Customs told to sell rest urgently - The Economic Times,2016-12-06,Economic Times India
47,"SBI: Happy days ahead! Cash crunch may ease by Feb-end, says SBI report",2017-01-06,Economic Times India
48,7.2% GDP growth rate very healthy: Economic Affairs Secretary - The Economic Times,2019-01-07,Economic Times India
49,IGST: 70% IGST refund stuck due to flawed claims filed by exporters: CBEC - The Economic Times,2018-02-25,Economic Times India
50,70 pc of tea gardens in West Bengal making losses: TAI - The Economic Times,2015-10-03,Economic Times India
51,75 lakh new tax filers added to income tax list this fiscal: Official - The Economic Times,2018-11-04,Economic Times India
52,7th pay commission: HRA hike impact on inflation maybe lower than estimates - The Economic Times,2017-06-29,Economic Times India
53,"7th pay commission won't impact government's finances: Ratan Watal, Finance secretary - The Economic Times",2015-11-20,Economic Times India
54,7th Pay Panel: Salary expenditure of central government staff to exceed Rs 1 lakh crore in FY'16 - The Economic Times,2015-08-12,Economic Times India
55,88 per cent rural households have savings account: Nabard survey - The Economic Times,2018-08-16,Economic Times India
56,"98% FDI coming via automatic route: Shaktikanta Das, DEA Secy - The Economic Times",2016-04-10,Economic Times India
57,Narendra Modi | Indian Economic Growth: A $45 billion bet on Narendra Modi’s India is rapidly unwinding,2019-09-17,Economic Times India
58,A dozen civic bodies to raise Rs 6k cr through bonds in 2017 - The Economic Times,2017-01-02,Economic Times India
59,Income Tax India: 1 taxpayer owes 11% of India's individual income tax in 2014-15 - The Economic Times,2017-01-24,Economic Times India
60,"'Aadhaar-enabled DBT savings estimated over Rs 90,000 crore' - The Economic Times",2018-07-11,Economic Times India
61,"'Aadhaar enabled e-KYC can save Rs 10,000 crore over next 5 years' - The Economic Times",2016-03-18,Economic Times India
62,Narendra Modi: Aadhaar helped Modi government save $9 billion: Nandan Nilekani,2017-10-13,Economic Times India
63,Aadhaar ID saving Indian govt about $1 billion per annum: World Bank - The Economic Times,2016-01-14,Economic Times India
64,ayushman bharat: Aadhaar savings can fund 3 schemes of the size of Ayushman Bharat: Arun Jaitley - The Economic Times,2019-01-06,Economic Times India
65,"Microgrids: ABB sees India as a growth market for Microgrid solutions - The Economic Times
						",2017-10-25,Economic Times India
66,Infrastructure Fund: Abu Dhabi Investment Authority to invest $1 billion in India's Infrastructure Fund - The Economic Times,2017-10-17,Economic Times India
67,"spectrum auction: Accruals from licence fee, spectrum charges slide during FY17 - The Economic Times",2017-03-29,Economic Times India
68,"Achche Din: Govt’s Toshakhana receives gift articles worth Rs 57 lakh between Jan-Sept last year - The Economic Times
						",2016-01-02,Economic Times India
69,ACRE sells 49% stake to SSG Capital Management of Singapore - The Economic Times,2014-09-12,Economic Times India
70,"Adani Group, State Bank of India defend $1 billion funding plan - The Economic Times",2014-12-04,Economic Times India
71,Adani group to invest Rs 20K crore in Jharkhand - The Economic Times,2017-02-16,Economic Times India
72,Adani group to invest Rs 20K crore in Jharkhand - The Economic Times,2017-02-16,Economic Times India
73,ADB $500 million funding soon for private sector infrastructure in Asia and Pacific - The Economic Times,2017-10-03,Economic Times India
74,ADB committed highest-ever USD 3 billion in sovereign loans to India in 2018 - The Economic Times,2019-04-16,Economic Times India
75,ADB operations reach a record $31.5 billion in 2016 - The Economic Times,2017-01-09,Economic Times India
76,Subhash Chandra Garg: ADB should expand private sector operations: Subhash Chandra Garg,2019-05-04,Economic Times India
77,ADB to provide $275 million loan for water supply project in Madhya Pradesh - The Economic Times,2017-06-20,Economic Times India
78,"free LPG connections: Additional 3 cr free LPG connections to cost Rs 4,800 crore - The Economic Times",2018-02-08,Economic Times India
79,"fiscal deficit: Additional central borrowing a negative surprise: Report - The Economic Times
						",2017-12-29,Economic Times India
80,Additional cess to be subsumed in GST within one year: Tax official - The Economic Times,2016-03-05,Economic Times India
81,Additional funds required for MNREGA: Narendra Singh Tomar - The Economic Times,2016-11-07,Economic Times India
82,Adhere to monthly/quarterly expenditure plans: FinMin to ministries - The Economic Times,2016-12-27,Economic Times India
83,"Aditya Birla group commits Rs 5,000 crore investment in Jharkhand - The Economic Times",2017-02-16,Economic Times India
84,"Aditya Birla Group to invest Rs 20,000 crore in Madhya Pradesh - The Economic Times",2016-10-22,Economic Times India
85,"Advance tax collections rise 4.9% to Rs 33,089 crore - The Economic Times",2012-06-20,Economic Times India
86,"Advance tax payments: PSBs show decline; pharma, steel firms rise - The Economic Times",2016-06-15,Economic Times India
87,PSUs: Government to appoint advisors for stake sale in four PSUs soon - The Economic Times,2017-08-16,Economic Times India
88,CAGR: Affordable home-loan players to have 40 per cent CAGR in next 4 years - The Economic Times,2017-05-08,Economic Times India
89,affordable housing: Affordable home-loans next threat to banks: Moody's-Icra report - The Economic Times,2018-01-08,Economic Times India
90,demonetisation: After 16 months currency in circulation back to pre-demonetisation levels - The Economic Times,2018-03-14,Economic Times India
91,"Harshad Mehta: After 27 years, Harshad Mehta and family free of tax cloud",2019-02-17,Economic Times India
92,"RBI | Demonetised Notes: 99.30% of demonetised money back in the system, says RBI report",2018-08-29,Economic Times India
93,"After GST law, can government still levy excise on goods? - The Economic Times
						",2016-09-19,Economic Times India
94,"After SC rap, government constitutes high-profile panel to look into bad loans - The Economic Times",2016-05-12,Economic Times India
95,"After spike in Q3, investments to fall in Q4 as projects stall - The Economic Times",2016-01-05,Economic Times India
96,AGS to manage ticketing solution for Kochi Metro,2017-06-16,Economic Times India
97,equity investment: AIIB approves $150 million equity investment in India - The Economic Times,2017-06-15,Economic Times India
98,AIIB may invest $200 mn in India's sovereign wealth fund - The Economic Times,2018-02-27,Economic Times India
99,AIIB to invest $200 million into an NIIF fund of funds - The Economic Times,2018-06-24,Economic Times India
100,Aim to collect Rs 19-20 lakh crore in taxes in 2017-18: Arun Jaitley,2017-04-29,Economic Times India
101,"Aion and SSG cap racing to acquire debt ridden Alok Industries - The Economic Times
						",2017-07-23,Economic Times India
102,Air pollution from stubble burning costing India USD 30bn annually: Study - The Economic Times,2019-03-04,Economic Times India
103,"Airtel: Airtel Payments Bank plans to partner NBFCs, insurance companies - The Economic Times",2017-02-23,Economic Times India
104,Ajay Bhushan Pandey takes over as Revenue Secretary - The Economic Times,2018-11-30,Economic Times India
105,"Sales drop: Alcohol ban another drain on India's weak state finances - The Economic Times
						",2017-04-19,Economic Times India
106,All eyes on Narendra Modi's new cabinet as Indian economy faces yet another slow down - The Economic Times,2019-05-27,Economic Times India
107,"Deepak Parekh: All macros favouring India, companies should pass on tax cuts to consumers: Deepak Parekh",2019-09-26,Economic Times India
108,Allow IFCs to buy projects turning into NPAs: Assocham - The Economic Times,2015-06-16,Economic Times India
109,Allow smooth passage of FII funds: SEBI Chairman - The Economic Times,2009-12-07,Economic Times India
110,Almost 12 lakh crore old notes deposited so far: RBI - The Economic Times,2016-12-07,Economic Times India
111,"Almost Rs 25,000 crore cash transactions moved to digital post note ban: SBI - The Economic Times",2017-01-10,Economic Times India
112,Alternative instruments can earn higher returns: FM Arun Jaitley,2016-07-30,Economic Times India
113,Jeff Bezos announces $3 billion investment in Indian business in the presence of PM Narendra Modi - The Economic Times,2016-06-09,Economic Times India
114,AMC in the works to help PSU banks offload non-core assets - The Economic Times,2018-07-25,Economic Times India
115,"Amfi move leaves many mutual funds fuming, Sundaram MF refuses to follow 'arbitrary' decision - The Economic Times",2015-03-26,Economic Times India
116,Higher threshold for tax appeals will give relief to small units: Piyush Goyal - The Economic Times,2018-07-12,Economic Times India
117,Andhra attracts Rs 10.5 lakh crore investment commitments at Partnership Summit - The Economic Times,2017-01-28,Economic Times India
118,Andhra passes law to regulate MFIs,2010-10-15,Economic Times India
119,Andhra Pradesh aspires to clock a 15 per cent growth rate next fiscal: Chandrababu Naidu - The Economic Times,2017-01-27,Economic Times India
120,"GST: Andhra Pradesh, Gujarat CEZs may offer big-ticket incentives - The Economic Times",2017-05-25,Economic Times India
121,Andhra Pradesh has attracted Rs 4 lakh crore in investments post split: Chandrababu Naidu - The Economic Times,2016-02-17,Economic Times India
122,"Andhra Pradesh seeks Rs 7,269 crore central sales tax dues - The Economic Times",2016-07-27,Economic Times India
123,Andhra Pradesh signs MoUs for investments worth Rs 1.95 lakh cr on day-one of CII Partnership Summit - The Economic Times,2016-01-10,Economic Times India
124,"Andhra Pradesh to receive Rs 8,000 crore under NREGA in next fiscal: Minister - The Economic Times",2016-02-15,Economic Times India
125,"AP signs 32 MoUs with various companies at partnership summit - The Economic Times
						",2016-01-11,Economic Times India
126,Now process of NBFC registration becomes mush easier - The Economic Times,2016-06-17,Economic Times India
127,​April core growth nearly halves to 2.2% - The Economic Times,2012-06-01,Economic Times India
128,"Atal Pension Yojana: APY subscribers cross 69 lakh with contribution of Rs 2,690 cr - The Economic Times
						",2017-10-16,Economic Times India
129,asset reconstruction companies: ARCs must have minimum net corpus of Rs 100 crore by 2019: RBI,2017-04-28,Economic Times India
130,Argand Pips Aion to acquire Sigma electric for $250 million - The Economic Times,2016-10-06,Economic Times India
131,"affordable housing: Around Rs 3,000 crore sanctioned under PMAY credit-linked subsidy: NHB CEO - The Economic Times",2018-05-10,Economic Times India
132,"Around Rs 375,000 crore corrosion damage per year in India",2015-11-18,Economic Times India
133,"Now, just put up your FDI proposals online",2010-03-15,Economic Times India
134,"GST: Arun Jaitley indicates scope for rationalisation of rates under GST - The Economic Times
						",2017-08-03,Economic Times India
135,Arun Jaitley promises additional capital for PSU banks - The Economic Times,2015-06-12,Economic Times India
136,"Arun Jaitley: Finance Minister rules out demonetisation rollback, says no plans for Rs 1,000 note at the moment - The Economic Times",2016-11-17,Economic Times India
137,"Arun Shourie, Yashwant Sinha in fray to head BRICS Bank - The Economic Times
						",2015-03-11,Economic Times India
138,"Arunachal Pradesh CM Kalikho Pul seeks Rs 2,000 crore special package from Centre - The Economic Times",2016-04-24,Economic Times India
139,"As India aged, 32% of elderly got 71% of government money - The Economic Times",2016-06-07,Economic Times India
140,"As rupee nears record lows, Reserve Bank of India not unduly worried - The Economic Times",2016-02-18,Economic Times India
141,ASI data shows contraction in investment in 2013-14 - The Economic Times,2016-02-10,Economic Times India
142,Uttar Pradesh: Asian Development Bank pledges $10 billion for development projects in India - The Economic Times,2017-06-29,Economic Times India
143,Asian Development Bank pledges $10 billion for development projects in India - The Economic Times,2017-06-29,Economic Times India
144,Asian economies led by India to be major growth driver: IMF - The Economic Times,2016-03-13,Economic Times India
145,Assam budget to adopt participatory model - The Economic Times,2016-07-12,Economic Times India
146,Assessment of PSBs under new framework to begin this fiscal: Hasmukh Adhia - The Economic Times,2015-08-18,Economic Times India
147,"At 6.2 crore, women account for 78 per cent of Mudra loanees - The Economic Times
						",2017-07-24,Economic Times India
148,"At 6.2 crore, women account for 78 per cent of Mudra loanees - The Economic Times
						",2017-07-24,Economic Times India
149,"At Rs 1.37 lakh crore, April fiscal deficit crosses 25% mark - The Economic Times",2016-05-31,Economic Times India
150,atal pension yojana: Atal Pension Yojana reaches subscriber base of 62 lakh - The Economic Times,2017-08-30,Economic Times India
151,International Development: Attempts to subsume South-South cooperation in global aid architecture not helpful: India - The Economic Times,2019-03-22,Economic Times India
152,Auction of 54 mines to fetch Rs 1.5 lakh crore to states' kitty - The Economic Times,2017-09-20,Economic Times India
153,"GST mop-up drops to Rs 93,960 crore in August - The Economic Times",2018-09-01,Economic Times India
154,"Aujas Networks raises undisclosed Series B round of funding - The Economic Times
						",2013-11-28,Economic Times India
155,Austere travel saves govt Rs 64 cr - The Economic Times,2010-04-11,Economic Times India
156,Austerity drive to save up to Rs 40K cr but poses risks to growth: Nomura - The Economic Times,2014-10-30,Economic Times India
157,"AustralianSuper: AustralianSuper, Ontario Teachers’ to invest $2 bn in NIIF - The Economic Times",2019-08-06,Economic Times India
158,Auto asset-backed loans stabilise in January: Moody's - The Economic Times,2017-03-02,Economic Times India
159,"Avenue Cap to pick up majority stake in Arcil for Rs 1,000 crore - The Economic Times",2018-07-23,Economic Times India
160,"Average per capita income in last 4 years higher at nearly Rs 80,000 - The Economic Times",2018-08-08,Economic Times India
161,"NPAs: Bad loans and stressed assets in banks estimated at $153.5 billion - The Economic Times
						",2017-10-25,Economic Times India
162,Arun Jaitley: Bad loans: Is this really resolution or just another waiver? Here is Jaitley's answer - The Economic Times,2018-10-14,Economic Times India
163,"Bad loans mountain grows, risks delaying bank clean-up - The Economic Times",2016-10-10,Economic Times India
164,bank recapitalisation: Bailout to banks is not going to cure bad behaviour - The Economic Times,2017-10-29,Economic Times India
165,Balance of payments slips into deficit on dollar outflows - The Economic Times,2015-12-23,Economic Times India
166,foreign funds: Ban on foreign funds for non-profit may hurt India health programmes - The Economic Times,2017-05-30,Economic Times India
167,"Bank credit plunges by Rs 61,000 crore in post note ban fortnight - The Economic Times",2016-12-13,Economic Times India
168,"Bank credit up 12%, deposits 10.6% - The Economic Times",2019-08-01,Economic Times India
169,"RBI: Rs 71,500 crore worth of bank frauds detected in FY19: RBI report",2019-08-29,Economic Times India
170,"Bank fraud touches unprecedented Rs 71,500 crore in 2018-19: RBI - The Economic Times",2019-06-03,Economic Times India
171,Bankers could act as counsellors for farmers: Arjun Ram Meghwal - The Economic Times,2016-07-12,Economic Times India
172,Bankers say RBI’s revised rule makes it difficult to cut lending rates - The Economic Times,2015-03-13,Economic Times India
173,Banks demand RBI to leave government's surplus cash with them to prevent squeeze in money market - The Economic Times,2016-03-19,Economic Times India
174,Banks eye 'resolution' of Rs 1.5 lakh cr worth stressed assets - The Economic Times,2016-10-23,Economic Times India
175,"Banks, financial institutions to face action under new black money law: Shaktinkanta Das - The Economic Times",2015-03-04,Economic Times India
176,Banks' gross NPA levels to be at 8-8.5 per cent in FY17: Icra - The Economic Times,2016-07-14,Economic Times India
177,Banks' gross NPA levels to be at 8-8.5 per cent in FY17: Icra - The Economic Times,2016-07-14,Economic Times India
178,"Banks in a fix as deposit growth hits 50-year low, loan disbursement rises - The Economic Times",2016-04-07,Economic Times India
179,Banks insisting customers to take coins amid currency short supply - The Economic Times,2016-11-18,Economic Times India
180,Banks may not hike rates soon,2010-01-18,Economic Times India
181,banking sector: Banks' NPA steadily rising for past 8 years: Shiv Pratap Shukla - The Economic Times,2018-03-16,Economic Times India
182,"DoT: Banks seek relief measures for stressed telcos under debt restructuring plan - The Economic Times
						",2017-12-07,Economic Times India
183,"assam: Banks set target of disbursing Rs 1,000 crore under MUDRA scheme this fiscal in Assam - The Economic Times",2017-10-02,Economic Times India
184,Banks set to get another recap lifeline,2009-11-27,Economic Times India
185,Banks should review loan policy towards MSMEs: RBI - The Economic Times,2009-06-04,Economic Times India
186,Banks to further cut lending rates by up to 50 bps in December - The Economic Times,2008-11-30,Economic Times India
187,"Banks to get enough capital, want them to deal with NPAs: Jayant Sinha - The Economic Times",2016-01-30,Economic Times India
188,Banks willing to sell policies of multiple insurers - The Economic Times,2016-09-29,Economic Times India
189,Banks with currency chest need to boost supply for crop: RBI - The Economic Times,2016-12-02,Economic Times India
190,Barclays becomes first lender to tie up with India Post - The Economic Times,2017-01-10,Economic Times India
191,Base rate to be based on marginal cost of funds from April 1: RBI - The Economic Times,2015-12-17,Economic Times India
192,"Benami properties worth Rs 4,300 crore attached: Government - The Economic Times",2018-07-24,Economic Times India
193,Better bankruptcy laws will attract right kind of investors: Lehman Ex-CEO Bryan Marsal - The Economic Times,2015-09-11,Economic Times India
194,"Betting big on Make-in-India; French companies to pump Euro 8 billion into India, already put in Euro 20 billion - The Economic Times",2016-08-19,Economic Times India
195,"BHEL, 11 other PSUs running in losses: Anant Geete - The Economic Times",2016-01-12,Economic Times India
196,BHIM app: BHIM app crosses 17 million downloads: NITI,2017-02-21,Economic Times India
197,BHIM app crosses 17 million downloads: NITI - The Economic Times,2017-02-21,Economic Times India
198,Budget 2019: Big budget challenge: A slowing economy shows its pain points,2019-07-02,Economic Times India
199,Bitcoin: 'Bitcoin' becoming a bit too big; regulators scramble for norms - The Economic Times,2013-12-01,Economic Times India
200,"Bitcoin is gold 2.0, can transform remittances: Brock Pierce - The Economic Times",2016-02-29,Economic Times India
201,Bitcoin: Bitcoins prepare a second coming in India - The Economic Times,2014-07-22,Economic Times India
202,Bitcoins prepare a second coming in India - The Economic Times,2014-07-22,Economic Times India
203,NPA: Bitter NPA pill for Renuka Sugars’ lenders,2019-03-25,Economic Times India
204,"Ravi Shankar Prasad: BJP government for stable tax regime, to avoid
retrospectivity : Ravi Shankar Prasad, Law &amp; Telecom minister - The Economic Times",2014-05-27,Economic Times India
205,"BJP's victory to improve biz sentiment, boost pvt investment: Fitch - The Economic Times",2019-05-23,Economic Times India
206,"Black economy shrinking, still exceeds Thailand's GDP: Ambit Capital - The Economic Times",2016-06-05,Economic Times India
207,"Black Money: Black money: Failure to sign Foreign Account Tax Compliance Act with US may hurt India - The Economic Times
						",2014-10-31,Economic Times India
208,"Black money: Financial Intelligence Unit begins tracking overseas money transfer - The Economic Times
						",2015-04-28,Economic Times India
209,"Black money: Government collects Rs 3,770 cr from over 600 stash holders - The Economic Times",2015-10-01,Economic Times India
210,"Finance Ministry unearths Rs 71,000 crore of black money in 2 years",2016-05-11,Economic Times India
211,"Black money haul: Rs 65,250 crore disclosed through Income Declaration Scheme",2016-10-01,Economic Times India
212,"Black money haul: Rs 65,250 crore disclosed through Income Declaration Scheme - The Economic Times",2016-10-01,Economic Times India
213,Black money: Income Tax dept may get to re-open returns beyond 6 years - The Economic Times,2012-02-20,Economic Times India
214,Black money: India-Singapore to share information on tax evaders - The Economic Times,2012-07-22,Economic Times India
215,Black money: Investments from tax havens may be blocked - The Economic Times,2011-02-24,Economic Times India
216,Black money issue: Why taxing immovable assets held by Indians overseas is not easy,2015-06-20,Economic Times India
217,"Black money: It could be Rs 3 lakh crore or Rs 7.3 lakh crore, says Economic Survey - The Economic Times
						",2017-01-31,Economic Times India
218,"Black money: It could be Rs 3 lakh crore or Rs 7.3 lakh crore, says Economic Survey - The Economic Times",2017-01-31,Economic Times India
219,Black money: Probe agencies asked to keep FIU identity secret - The Economic Times,2016-02-16,Economic Times India
220,Black money: ‘Project Insight’ to help Finance Ministry nab tax evaders - The Economic Times,2015-07-28,Economic Times India
221,Black money: Suspicious hawala cash transfers in gold trades prompts Sebi to raid brokers - The Economic Times,2016-03-25,Economic Times India
222,Blow to I-T department’s year-end tax recovery drive - The Economic Times,2019-03-21,Economic Times India
223,Blue chip PSUs eye EPFO funds - The Economic Times,2017-01-10,Economic Times India
224,DHFL: Board of trustees okays EPFO exit from DHFL,2019-08-22,Economic Times India
225,Borrowing cost for corporates goes up despite RBI's rate cut - The Economic Times,2015-06-08,Economic Times India
226,Borrowing costs may spike with FCNR outgo - The Economic Times,2016-07-18,Economic Times India
227,"demonetisation: Both consumers and retailers more open to cashless now: Report - The Economic Times
						",2017-11-21,Economic Times India
228,Brazil's political crisis will test BRICS capability: China - The Economic Times,2016-06-13,Economic Times India
229,Brexit forces investors to rethink business methods - The Economic Times,2016-06-30,Economic Times India
230,Brexit: RBI's Raghuram Rajan promises liquidity support to absorb shocks - The Economic Times,2016-06-24,Economic Times India
231,BRICS Bank to begin funding of projects from April: Kamath - The Economic Times,2016-02-26,Economic Times India
232,"BRICS for building responsive, inclusive, collective solutions: PM Modi - The Economic Times
						",2015-11-15,Economic Times India
233,BRICS may agree on $100 bn currency fund during G20 summit - The Economic Times,2013-08-31,Economic Times India
234,"Brics: BRICS' New Development Bank has 23 projects in pipeline, including 6 in India: K V Kamath - The Economic Times
						",2017-07-06,Economic Times India
235,"BRICS: NPA not an issue, rate cuts to fetch Rs 2.5 trillion gains, says KV Kamath - The Economic Times",2016-10-16,Economic Times India
236,"Bring land, realty, power under GST fold, says Arvind Subramanian - The Economic Times",2016-12-15,Economic Times India
237,"'Britain may reap benefits of Brexit in short, medium term' - The Economic Times",2016-06-27,Economic Times India
238,Budget 2013: How the super-rich can escape the surcharge - The Economic Times,2013-03-01,Economic Times India
239,"Budget 2013: UIDAI's plan spending doubled to Rs 2,620 cr in 2013-14 - The Economic Times",2013-02-28,Economic Times India
240,Budget 2015: Bimal Jalan endorses higher deficit to boost growth - The Economic Times,2015-02-21,Economic Times India
241,"Budget 2015: Boost for science &amp; technology as government allocates Rs 7,288 crore for research - The Economic Times",2015-02-28,Economic Times India
242,"Budget 2015: Central funding in social welfare schemes to states likely to be slashed by 25-30% - The Economic Times
						",2015-02-18,Economic Times India
243,Budget 2015: Defence allocation increased by nearly 11 per cent - The Economic Times,2015-02-28,Economic Times India
244,"Budget 2015: Government willing to walk the talk through higher public investments, says Anil Agarwal - The Economic Times",2015-03-01,Economic Times India
245,"Budget 2015: Government’s intention to implement GST in April 2016 is welcome, says Harishankar Subramanian - The Economic Times",2015-03-01,Economic Times India
246,Budget 2015 offers an opportunity to reduce physical cash in economy - The Economic Times,2015-02-19,Economic Times India
247,"Budget 2015: Boost for science &amp; technology as government allocates Rs 7,288 crore for research - The Economic Times",2015-02-28,Economic Times India
248,Budget 2015: Service tax hike likely to hit overall consumption - The Economic Times,2015-03-02,Economic Times India
249,"Budget 2015: Well balanced mix of consumption &amp; capital expenditure to assure growth, says Madhusudan Kela - The Economic Times",2015-03-01,Economic Times India
250,"Budget 2016: Arun Jaitley grows cess revenue, takes much more than gives away - The Economic Times",2016-02-29,Economic Times India
251,"Budget 2016: Bid to support growth within fiscal constraints, says Nilesh Shah - The Economic Times",2016-03-01,Economic Times India
252,Budget 2016: Black money to attract double payout after 4-month window - The Economic Times,2016-03-03,Economic Times India
253,"Budget 2016 brings 2 new cesses; additional revenue from levy at Rs 23,000 crore - The Economic Times
						",2016-02-29,Economic Times India
254,Budget 2016 could deliver high growth: Ashish Vaidya - The Economic Times,2016-03-02,Economic Times India
255,"Budget 2016: Data analytics helps government collect Rs 10,000 crore from non-filers - The Economic Times",2016-02-29,Economic Times India
256,"Budget 2016: Dividend tax may add over Rs 8,000 crore to government coffers - The Economic Times",2016-02-29,Economic Times India
257,"Budget 2016: Do away with corporate tax surcharges, retrospective tax, says EY - The Economic Times",2016-02-24,Economic Times India
258,"Budget 2016: Doubling our income in 5 years too good to be true, say farmers' union - The Economic Times",2016-02-29,Economic Times India
259,"Budget 2016: External Affairs Ministry allocated Rs 14,662 crore - The Economic Times",2016-02-29,Economic Times India
260,Budget 2016: Fewer tax hassles for professionals - The Economic Times,2016-03-01,Economic Times India
261,Budget 2016: Finance Minister Arun Jaitley could squeeze business to balance books - The Economic Times,2016-02-01,Economic Times India
262,"Budget 2016: Fiscal balance best insurance against global knocks, says FICCI mentor Arvind Virmani - The Economic Times",2016-03-01,Economic Times India
263,"Budget 2016: FM Arun Jaitley still bullish on disinvestment, renames department - The Economic Times",2016-03-01,Economic Times India
264,Budget 2016: Glimmer of hope for GST? - The Economic Times,2016-02-09,Economic Times India
265,"Budget 2016: Government allocates Rs 18,413 crore to Department of Telecom - The Economic Times",2016-02-29,Economic Times India
266,"Budget 2016: Government allocates Rs 2,000 crore more for NREGS - The Economic Times",2016-03-02,Economic Times India
267,"Budget 2016: Government expects 11.7% rise in gross tax revenue in FY 2017 - The Economic Times
						",2016-02-29,Economic Times India
268,Budget 2016: Government may be tempted to tweak service tax rates - The Economic Times,2016-02-24,Economic Times India
269,"Budget 2016: Government pushes to increase fund flow to infrastructure, unlisted debt - The Economic Times",2016-02-29,Economic Times India
