Symbol;Security;;GICS Sector;GICS Sub Industry;;;;
CL;Colgate-Palmolive;;Consumer Staples;Household Products;;;;
CLX;The Clorox Company;;Consumer Staples;Household Products;;;;
CMA;Comerica Inc.;;Financials;Diversified Banks;;;;
CMCSA;Comcast Corp.;;Communication Services;Cable & Satellite;;;;
CME;CME Group Inc.;;Financials;Financial Exchanges & Data;;;;
CMG;Chipotle Mexican Grill;;Consumer Discretionary;Restaurants;;;;
CMI;Cummins Inc.;;Industrials;Industrial Machinery;;;;
CMS;CMS Energy;;Utilities;Multi-Utilities;;;;
CNC;Centene Corporation;;Health Care;Managed Health Care;;;;
CNP;CenterPoint Energy;;Utilities;Multi-Utilities;;;;
COF;Capital One Financial;;Financials;Consumer Finance;;;;
COG;Cabot Oil & Gas;;Energy;Oil & Gas Exploration & Production;;;;
COO;The Cooper Companies;;Health Care;Health Care Supplies;;;;
COP;ConocoPhillips;;Energy;Oil & Gas Exploration & Production;;;;
COST;Costco Wholesale Corp.;;Consumer Staples;Hypermarkets & Super Centers;;;;
COTY;Coty  Inc;;Consumer Staples;Personal Products;;;;
CPB;Campbell Soup;;Consumer Staples;Packaged Foods & Meats;;;;
CPRI;Capri Holdings;;Consumer Discretionary;Apparel  Accessories & Luxury Goods;;;;
CPRT;Copart Inc;;Industrials;Diversified Support Services;;;;
CRM;Salesforce.com;;Information Technology;Application Software;;;;
CSCO;Cisco Systems;;Information Technology;Communications Equipment;;;;
CSX;CSX Corp.;;Industrials;Railroads;;;;
CTAS;Cintas Corporation;;Industrials;Diversified Support Services;;;;
CTL;CenturyLink Inc;;Communication Services;Integrated Telecommunication Services;;;;
CTSH;Cognizant Technology Solutions;;Information Technology;IT Consulting & Other Services;;;;
CTVA;Corteva;;Materials;Fertilizers & Agricultural Chemicals;;;;
CTXS;Citrix Systems;;Information Technology;Application Software;;;;
CVS;CVS Health;;Health Care;Health Care Services;;;;
CVX;Chevron Corp.;;Energy;Integrated Oil & Gas;;;;
CXO;Concho Resources;;Energy;Oil & Gas Exploration & Production;;;;
D;Dominion Energy;;Utilities;Electric Utilities;;;;
DAL;Delta Air Lines Inc.;;Industrials;Airlines;;;;
DD;DuPont de Nemours Inc;;Materials;Specialty Chemicals;;;;
DE;Deere & Co.;;Industrials;Agricultural & Farm Machinery;;;;
DFS;Discover Financial Services;;Financials;Consumer Finance;;;;
DG;Dollar General;;Consumer Discretionary;General Merchandise Stores;;;;
DGX;Quest Diagnostics;;Health Care;Health Care Services;;;;
DHI;D. R. Horton;;Consumer Discretionary;Homebuilding;;;;
DHR;Danaher Corp.;;Health Care;Health Care Equipment;;;;
DIS;The Walt Disney Company;;Communication Services;Movies & Entertainment;;;;
DISCA;Discovery Inc. Class A;;Communication Services;Broadcasting;;;;
DISCK;Discovery Inc. Class C;;Communication Services;Broadcasting;;;;
DISH;Dish Network;;Communication Services;Cable & Satellite;;;;
DLR;Digital Realty Trust Inc;;Real Estate;Specialized REITs;;;;
DLTR;Dollar Tree;;Consumer Discretionary;General Merchandise Stores;;;;
DOV;Dover Corp.;;Industrials;Industrial Machinery;;;;
DOW;Dow Inc.;;Materials;Commodity Chemicals;;;;
DRE;Duke Realty Corp;;Real Estate;Industrial REITs;;;;
DRI;Darden Restaurants;;Consumer Discretionary;Restaurants;;;;
DTE;DTE Energy Co.;;Utilities;Multi-Utilities;;;;
DUK;Duke Energy;;Utilities;Electric Utilities;;;;
DVA;DaVita Inc.;;Health Care;Health Care Facilities;;;;
DVN;Devon Energy;;Energy;Oil & Gas Exploration & Production;;;;
DXC;DXC Technology;;Information Technology;IT Consulting & Other Services;;;;
EA;Electronic Arts;;Communication Services;Interactive Home Entertainment;;;;
EBAY;eBay Inc.;;Consumer Discretionary;Internet & Direct Marketing Retail;;;;
ECL;Ecolab Inc.;;Materials;Specialty Chemicals;;;;
ED;Consolidated Edison;;Utilities;Electric Utilities;;;;
EFX;Equifax Inc.;;Industrials;Research & Consulting Services;;;;
EIX;Edison Int'l;;Utilities;Electric Utilities;;;;
EL;Estee Lauder Cos.;;Consumer Staples;Personal Products;;;;
EMN;Eastman Chemical;;Materials;Diversified Chemicals;;;;
EMR;Emerson Electric Company;;Industrials;Electrical Components & Equipment;;;;
EOG;EOG Resources;;Energy;Oil & Gas Exploration & Production;;;;
EQIX;Equinix;;Real Estate;Specialized REITs;;;;
EQR;Equity Residential;;Real Estate;Residential REITs;;;;
ES;Eversource Energy;;Utilities;Multi-Utilities;;;;
ESS;Essex Property Trust  Inc.;;Real Estate;Residential REITs;;;;
ETFC;E*Trade;;Financials;Investment Banking & Brokerage;;;;
ETN;Eaton Corporation;;Industrials;Electrical Components & Equipment;;;;
ETR;Entergy Corp.;;Utilities;Electric Utilities;;;;
EVRG;Evergy;;Utilities;Electric Utilities;;;;
EW;Edwards Lifesciences;;Health Care;Health Care Equipment;;;;
EXC;Exelon Corp.;;Utilities;Multi-Utilities;;;;
EXPD;Expeditors;;Industrials;Air Freight & Logistics;;;;
EXPE;Expedia Group;;Consumer Discretionary;Internet & Direct Marketing Retail;;;;
EXR;Extra Space Storage;;Real Estate;Specialized REITs;;;;
F;Ford Motor;;Consumer Discretionary;Automobile Manufacturers;;;;
FANG;Diamondback Energy;;Energy;Oil & Gas Exploration & Production;;;;
FAST;Fastenal Co;;Industrials;Building Products;;;;
FB;Facebook  Inc.;;Communication Services;Interactive Media & Services;;;;
FBHS;Fortune Brands Home & Security;;Industrials;Building Products;;;;
FCX;Freeport-McMoRan Inc.;;Materials;Copper;;;;
FDX;FedEx Corporation;;Industrials;Air Freight & Logistics;;;;
FE;FirstEnergy Corp;;Utilities;Electric Utilities;;;;
FFIV;F5 Networks;;Information Technology;Communications Equipment;;;;
FIS;Fidelity National Information Services;;Information Technology;Data Processing & Outsourced Services;;;;
FISV;Fiserv Inc;;Information Technology;Data Processing & Outsourced Services;;;;
FITB;Fifth Third Bancorp;;Financials;Regional Banks;;;;
FLIR;FLIR Systems;;Information Technology;Electronic Equipment & Instruments;;;;
FLS;Flowserve Corporation;;Industrials;Industrial Machinery;;;;
FLT;FleetCor Technologies Inc;;Information Technology;Data Processing & Outsourced Services;;;;
FMC;FMC Corporation;;Materials;Fertilizers & Agricultural Chemicals;;;;
FOX;Fox Corporation Class B;;Communication Services;Movies & Entertainment;;;;
FOXA;Fox Corporation Class A;;Communication Services;Movies & Entertainment;;;;
FRC;First Republic Bank;;Financials;Regional Banks;;;;
FRT;Federal Realty Investment Trust;;Real Estate;Retail REITs;;;;
FTI;TechnipFMC;;Energy;Oil & Gas Equipment & Services;;;;
FTNT;Fortinet;;Information Technology;Systems Software;;;;
FTV;Fortive Corp;;Industrials;Industrial Machinery;;;;
GD;General Dynamics;;Industrials;Aerospace & Defense;;;;
GE;General Electric;;Industrials;Industrial Conglomerates;;;;
GILD;Gilead Sciences;;Health Care;Biotechnology;;;;
GIS;General Mills;;Consumer Staples;Packaged Foods & Meats;;;;
GL;Globe Life Inc.;;Financials;Life & Health Insurance;;;;
GLW;Corning Inc.;;Information Technology;Electronic Components;;;;
GM;General Motors;;Consumer Discretionary;Automobile Manufacturers;;;;
GOOG;Alphabet Inc Class C;;Communication Services;Interactive Media & Services;;;;
GOOGL;Alphabet Inc Class A;;Communication Services;Interactive Media & Services;;;;
GPC;Genuine Parts;;Consumer Discretionary;Specialty Stores;;;;
GPN;Global Payments Inc.;;Information Technology;Data Processing & Outsourced Services;;;;
GPS;Gap Inc.;;Consumer Discretionary;Apparel Retail;;;;
GRMN;Garmin Ltd.;;Consumer Discretionary;Consumer Electronics;;;;
GS;Goldman Sachs Group;;Financials;Investment Banking & Brokerage;;;;
GWW;Grainger (W.W.) Inc.;;Industrials;Industrial Machinery;;;;
HAL;Halliburton Co.;;Energy;Oil & Gas Equipment & Services;;;;
HAS;Hasbro Inc.;;Consumer Discretionary;Leisure Products;;;;
HBAN;Huntington Bancshares;;Financials;Regional Banks;;;;
HBI;Hanesbrands Inc;;Consumer Discretionary;Apparel  Accessories & Luxury Goods;;;;
HCA;HCA Healthcare;;Health Care;Health Care Facilities;;;;
HD;Home Depot;;Consumer Discretionary;Home Improvement Retail;;;;
HES;Hess Corporation;;Energy;Integrated Oil & Gas;;;;
HFC;HollyFrontier Corp;;Energy;Oil & Gas Refining & Marketing;;;;
HIG;Hartford Financial Svc.Gp.;;Financials;Property & Casualty Insurance;;;;
HII;Huntington Ingalls Industries;;Industrials;Aerospace & Defense;;;;
HLT;Hilton Worldwide Holdings Inc;;Consumer Discretionary;Hotels  Resorts & Cruise Lines;;;;
HOG;Harley-Davidson;;Consumer Discretionary;Motorcycle Manufacturers;;;;
HOLX;Hologic;;Health Care;Health Care Equipment;;;;
HON;Honeywell Int'l Inc.;;Industrials;Industrial Conglomerates;;;;
HP;Helmerich & Payne;;Energy;Oil & Gas Drilling;;;;
HPE;Hewlett Packard Enterprise;;Information Technology;Technology Hardware  Storage & Peripherals;;;;
HPQ;HP Inc.;;Information Technology;Technology Hardware  Storage & Peripherals;;;;
HRB;H&R Block;;Consumer Discretionary;Specialized Consumer Services;;;;
HRL;Hormel Foods Corp.;;Consumer Staples;Packaged Foods & Meats;;;;
HSIC;Henry Schein;;Health Care;Health Care Distributors;;;;
HST;Host Hotels & Resorts;;Real Estate;Hotel & Resort REITs;;;;
HSY;The Hershey Company;;Consumer Staples;Packaged Foods & Meats;;;;
HUM;Humana Inc.;;Health Care;Managed Health Care;;;;
IBM;International Business Machines;;Information Technology;IT Consulting & Other Services;;;;
ICE;Intercontinental Exchange;;Financials;Financial Exchanges & Data;;;;
IDXX;IDEXX Laboratories;;Health Care;Health Care Equipment;;;;
IEX;IDEX Corporation;;Industrials;Industrial Machinery;;;;
IFF;Intl Flavors & Fragrances;;Materials;Specialty Chemicals;;;;
ILMN;Illumina Inc;;Health Care;Life Sciences Tools & Services;;;;
INCY;Incyte;;Health Care;Biotechnology;;;;
INFO;IHS Markit Ltd.;;Industrials;Research & Consulting Services;;;;
INTC;Intel Corp.;;Information Technology;Semiconductors;;;;
INTU;Intuit Inc.;;Information Technology;Application Software;;;;
IP;International Paper;;Materials;Paper Packaging;;;;
IPG;Interpublic Group;;Communication Services;Advertising;;;;
IPGP;IPG Photonics Corp.;;Information Technology;Electronic Manufacturing Services;;;;
IQV;IQVIA Holdings Inc.;;Health Care;Life Sciences Tools & Services;;;;
IR;Ingersoll-Rand PLC;;Industrials;Industrial Machinery;;;;
IRM;Iron Mountain Incorporated;;Real Estate;Specialized REITs;;;;
ISRG;Intuitive Surgical Inc.;;Health Care;Health Care Equipment;;;;
IT;Gartner Inc;;Information Technology;IT Consulting & Other Services;;;;
ITW;Illinois Tool Works;;Industrials;Industrial Machinery;;;;
IVZ;Invesco Ltd.;;Financials;Asset Management & Custody Banks;;;;
JBHT;J. B. Hunt Transport Services;;Industrials;Trucking;;;;
JCI;Johnson Controls International;;Industrials;Building Products;;;;
JEC;Jacobs Engineering Group;;Industrials;Construction & Engineering;;;;
JKHY;Jack Henry & Associates;;Information Technology;Data Processing & Outsourced Services;;;;
JNJ;Johnson & Johnson;;Health Care;Pharmaceuticals;;;;
JNPR;Juniper Networks;;Information Technology;Communications Equipment;;;;
JPM;JPMorgan Chase & Co.;;Financials;Diversified Banks;;;;
JWN;Nordstrom;;Consumer Discretionary;Department Stores;;;;
K;Kellogg Co.;;Consumer Staples;Packaged Foods & Meats;;;;
KEY;KeyCorp;;Financials;Regional Banks;;;;
KEYS;Keysight Technologies;;Information Technology;Electronic Equipment & Instruments;;;;
KHC;Kraft Heinz Co;;Consumer Staples;Packaged Foods & Meats;;;;
KIM;Kimco Realty;;Real Estate;Retail REITs;;;;
KLAC;KLA Corporation;;Information Technology;Semiconductor Equipment;;;;
KMB;Kimberly-Clark;;Consumer Staples;Household Products;;;;
KMI;Kinder Morgan;;Energy;Oil & Gas Storage & Transportation;;;;
KMX;Carmax Inc;;Consumer Discretionary;Specialty Stores;;;;
KO;Coca-Cola Company;;Consumer Staples;Soft Drinks;;;;
KR;Kroger Co.;;Consumer Staples;Food Retail;;;;
KSS;Kohl's Corp.;;Consumer Discretionary;General Merchandise Stores;;;;
KSU;Kansas City Southern;;Industrials;Railroads;;;;
L;Loews Corp.;;Financials;Multi-line Insurance;;;;
LB;L Brands Inc.;;Consumer Discretionary;Apparel Retail;;;;
LDOS;Leidos Holdings;;Information Technology;IT Consulting & Other Services;;;;
LEG;Leggett & Platt;;Consumer Discretionary;Home Furnishings;;;;
LEN;Lennar Corp.;;Consumer Discretionary;Homebuilding;;;;
LH;Laboratory Corp. of America Holding;;Health Care;Health Care Services;;;;
LHX;L3Harris Technologies;;Industrials;Aerospace & Defense;;;;
LIN;Linde plc;;Materials;Industrial Gases;;;;
LKQ;LKQ Corporation;;Consumer Discretionary;Distributors;;;;
LLY;Lilly (Eli) & Co.;;Health Care;Pharmaceuticals;;;;
LMT;Lockheed Martin Corp.;;Industrials;Aerospace & Defense;;;;
LNC;Lincoln National;;Financials;Multi-line Insurance;;;;
LNT;Alliant Energy Corp;;Utilities;Electric Utilities;;;;
LOW;Lowe's Cos.;;Consumer Discretionary;Home Improvement Retail;;;;
LRCX;Lam Research;;Information Technology;Semiconductor Equipment;;;;
LUV;Southwest Airlines;;Industrials;Airlines;;;;
LVS;Las Vegas Sands Corp;;Consumer Discretionary;Casinos & Gaming;;;;
LW;Lamb Weston Holdings Inc;;Consumer Staples;Packaged Foods & Meats;;;;
LYB;LyondellBasell;;Materials;Specialty Chemicals;;;;
M;Macy's Inc.;;Consumer Discretionary;Department Stores;;;;
MA;Mastercard Inc.;;Information Technology;Data Processing & Outsourced Services;;;;
MAA;Mid-America Apartments;;Real Estate;Residential REITs;;;;
MAC;Macerich;;Real Estate;Retail REITs;;;;
MAR;Marriott Int'l.;;Consumer Discretionary;Hotels  Resorts & Cruise Lines;;;;
MAS;Masco Corp.;;Industrials;Building Products;;;;
MCD;McDonald's Corp.;;Consumer Discretionary;Restaurants;;;;
MCHP;Microchip Technology;;Information Technology;Semiconductors;;;;
MCK;McKesson Corp.;;Health Care;Health Care Distributors;;;;
MCO;Moody's Corp;;Financials;Financial Exchanges & Data;;;;
MDLZ;Mondelez International;;Consumer Staples;Packaged Foods & Meats;;;;
MDT;Medtronic plc;;Health Care;Health Care Equipment;;;;
MET;MetLife Inc.;;Financials;Life & Health Insurance;;;;
MGM;MGM Resorts International;;Consumer Discretionary;Casinos & Gaming;;;;
MHK;Mohawk Industries;;Consumer Discretionary;Home Furnishings;;;;
MKC;McCormick & Co.;;Consumer Staples;Packaged Foods & Meats;;;;
MKTX;MarketAxess;;Financials;Financial Exchanges & Data;;;;
MLM;Martin Marietta Materials;;Materials;Construction Materials;;;;
MMC;Marsh & McLennan;;Financials;Insurance Brokers;;;;
MMM;3M Company;;Industrials;Industrial Conglomerates;;;;
MNST;Monster Beverage;;Consumer Staples;Soft Drinks;;;;
MO;Altria Group Inc;;Consumer Staples;Tobacco;;;;
MOS;The Mosaic Company;;Materials;Fertilizers & Agricultural Chemicals;;;;
MPC;Marathon Petroleum;;Energy;Oil & Gas Refining & Marketing;;;;
MRK;Merck & Co.;;Health Care;Pharmaceuticals;;;;
MRO;Marathon Oil Corp.;;Energy;Oil & Gas Exploration & Production;;;;
MS;Morgan Stanley;;Financials;Investment Banking & Brokerage;;;;
MSCI;MSCI Inc;;Financials;Financial Exchanges & Data;;;;
MSFT;Microsoft Corp.;;Information Technology;Systems Software;;;;
MSI;Motorola Solutions Inc.;;Information Technology;Communications Equipment;;;;
MTB;M&T Bank Corp.;;Financials;Regional Banks;;;;
MTD;Mettler Toledo;;Health Care;Life Sciences Tools & Services;;;;
MU;Micron Technology;;Information Technology;Semiconductors;;;;
MXIM;Maxim Integrated Products Inc;;Information Technology;Semiconductors;;;;
MYL;Mylan N.V.;;Health Care;Pharmaceuticals;;;;
NBL;Noble Energy Inc;;Energy;Oil & Gas Exploration & Production;;;;
NCLH;Norwegian Cruise Line Holdings;;Consumer Discretionary;Hotels Resorts & Cruise Lines;;;;
NDAQ;Nasdaq Inc.;;Financials;Financial Exchanges & Data;;;;
NEE;NextEra Energy;;Utilities;Multi-Utilities;;;;
NEM;Newmont Goldcorp;;Materials;Gold;;;;
NFLX;Netflix Inc.;;Communication Services;Movies & Entertainment;;;;
NI;NiSource Inc.;;Utilities;Multi-Utilities;;;;
NKE;Nike;;Consumer Discretionary;Apparel Accessories & Luxury Goods;;;;
NLOK;NortonLifeLock;;Information Technology;Application Software;;;;
NLSN;Nielsen Holdings;;Industrials;Research & Consulting Services;;;;
NOC;Northrop Grumman;;Industrials;Aerospace & Defense;;;;
NOV;National Oilwell Varco Inc.;;Energy;Oil & Gas Equipment & Services;;;;
NOW;ServiceNow;;Information Technology;Application Software;;;;
NRG;NRG Energy;;Utilities;Independent Power Producers & Energy Traders;;;;
NSC;Norfolk Southern Corp.;;Industrials;Railroads;;;;
NTAP;NetApp;;Information Technology;Technology Hardware Storage & Peripherals;;;;
NTRS;Northern Trust Corp.;;Financials;Asset Management & Custody Banks;;;;
NUE;Nucor Corp.;;Materials;Steel;;;;
NVDA;Nvidia Corporation;;Information Technology;Semiconductors;;;;
NVR;NVR Inc;;Consumer Discretionary;Homebuilding;;;;
NWL;Newell Brands;;Consumer Discretionary;Housewares & Specialties;;;;
NWS;News Corp. Class B;;Communication Services;Publishing;;;;
NWSA;News Corp. Class A;;Communication Services;Publishing;;;;
O;Realty Income Corporation;;Real Estate;Retail REITs;;;;
OKE;ONEOK;;Energy;Oil & Gas Storage & Transportation;;;;
OMC;Omnicom Group;;Communication Services;Advertising;;;;
ORCL;Oracle Corp.;;Information Technology;Application Software;;;;
ORLY;O'Reilly Automotive;;Consumer Discretionary;Specialty Stores;;;;
OXY;Occidental Petroleum;;Energy;Oil & Gas Exploration & Production;;;;
PAYX;Paychex Inc.;;Information Technology;Data Processing & Outsourced Services;;;;
PBCT;People's United Financial;;Financials;Thrifts & Mortgage Finance;;;;
PCAR;PACCAR Inc.;;Industrials;Construction Machinery & Heavy Trucks;;;;
PEAK;Healthpeak Properties;;Real Estate;Health Care REITs;;;;
PEG;Public Serv. Enterprise Inc.;;Utilities;Electric Utilities;;;;
PEP;PepsiCo Inc.;;Consumer Staples;Soft Drinks;;;;
PFE;Pfizer Inc.;;Health Care;Pharmaceuticals;;;;
PFG;Principal Financial Group;;Financials;Life & Health Insurance;;;;
PG;Procter & Gamble;;Consumer Staples;Personal Products;;;;
PGR;Progressive Corp.;;Financials;Property & Casualty Insurance;;;;
PH;Parker-Hannifin;;Industrials;Industrial Machinery;;;;
PHM;Pulte Homes Inc.;;Consumer Discretionary;Homebuilding;;;;
PKG;Packaging Corporation of America;;Materials;Paper Packaging;;;;
PKI;PerkinElmer;;Health Care;Health Care Equipment;;;;
PLD;Prologis;;Real Estate;Industrial REITs;;;;
PM;Philip Morris International;;Consumer Staples;Tobacco;;;;
PNC;PNC Financial Services;;Financials;Regional Banks;;;;
PNR;Pentair plc;;Industrials;Industrial Machinery;;;;
PNW;Pinnacle West Capital;;Utilities;Multi-Utilities;;;;
PPG;PPG Industries;;Materials;Specialty Chemicals;;;;
PPL;PPL Corp.;;Utilities;Electric Utilities;;;;
PRGO;Perrigo;;Health Care;Pharmaceuticals;;;;
PRU;Prudential Financial;;Financials;Life & Health Insurance;;;;
PSA;Public Storage;;Real Estate;Specialized REITs;;;;
PSX;Phillips 66;;Energy;Oil & Gas Refining & Marketing;;;;
PVH;PVH Corp.;;Consumer Discretionary;Apparel Accessories & Luxury Goods;;;;
PWR;Quanta Services Inc.;;Industrials;Construction & Engineering;;;;
PXD;Pioneer Natural Resources;;Energy;Oil & Gas Exploration & Production;;;;
PYPL;PayPal;;Information Technology;Data Processing & Outsourced Services;;;;
QCOM;QUALCOMM Inc.;;Information Technology;Semiconductors;;;;
QRVO;Qorvo;;Information Technology;Semiconductors;;;;
RCL;Royal Caribbean Cruises Ltd;;Consumer Discretionary;Hotels Resorts & Cruise Lines;;;;
RE;Everest Re Group Ltd.;;Financials;Reinsurance;;;;
REG;Regency Centers Corporation;;Real Estate;Retail REITs;;;;
REGN;Regeneron Pharmaceuticals;;Health Care;Biotechnology;;;;
RF;Regions Financial Corp.;;Financials;Regional Banks;;;;
RHI;Robert Half International;;Industrials;Human Resource & Employment Services;;;;
RJF;Raymond James Financial Inc.;;Financials;Investment Banking & Brokerage;;;;
RL;Ralph Lauren Corporation;;Consumer Discretionary;Apparel Accessories & Luxury Goods;;;;
RMD;ResMed;;Health Care;Health Care Equipment;;;;
ROK;Rockwell Automation Inc.;;Industrials;Electrical Components & Equipment;;;;
ROL;Rollins Inc.;;Industrials;Environmental & Facilities Services;;;;
ROP;Roper Technologies;;Industrials;Industrial Conglomerates;;;;
ROST;Ross Stores;;Consumer Discretionary;Apparel Retail;;;;
RSG;Republic Services Inc;;Industrials;Environmental & Facilities Services;;;;
RTN;Raytheon Co.;;Industrials;Aerospace & Defense;;;;
